Org_Name,Program_or_Clinic_Name,Parent_Org,Org_Type,Website,Main_Phone,General_Email,Main_Address_Line1,City_Town,State,ZIP,County,Number_of_Locations,Service_Area,Location_Type,Telehealth_Available,Telehealth_Service_Area,Serves_Refugees,Serves_Asylum_Seekers,Serves_Undocumented,Serves_Regardless_of_Immigration_Status,Specific_Communities_Focus,Service_Modalities,Clinical_Therapy,Psychiatric_Services,Home_or_Community_Based_Services,Traditional_or_Cultural_Healing,Immigration_Case_Evals_Asylum,Immigration_Legal_Services_Onsite_or_Partner,Legal_Mental_Health_Integrated,Settings,Other_Support_Description,Languages_Spoken_By_Staff_Other_Than_English,Bilingual_Clinicians_Languages,Interpreter_Services_Available,Interpreter_Languages,Cultural_Specific_Programs,Accepts_MassHealth,Accepts_Medicare,Accepts_Commercial_Insurance,Serves_Uninsured,Sliding_Scale_or_Low_Cost,Payment_Notes,Eligibility_Criteria,Other_Special_Expertise,Key_Programs_for_Immigrants,Community_Partners,Qualitative_Notes,Data_Source,Source_URL,,Latitude,Longitude,"Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Steppingstone, Inc.","HIV/AIDS Case Management & Housing – New Bedford","Steppingstone, Inc.","Community Mental Health Clinic",https://steppingstoneinc.org,"(508) 674-2788",Unknown,"5 Dover St, Suite 207","New Bedford",MA,2740,Bristol,Multiple,"Bristol County",Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Adults with HIV/AIDS; homeless adults at risk","Case Management; Care Coordination",No,No,Yes,No,No,No,No,"Clinic; Community","HIV/AIDS case management; care coordination; outreach; apartment searches; housing for those with HIV/AIDS; residential substance abuse treatment case management",Unknown,Unknown,Unknown,Unknown,"HIV/AIDS-specific programming",Yes,Yes,Yes,Unknown,Yes,"MassHealth, Medicare; sliding scale","Adults in New Bedford with HIV/AIDS; at-risk homeless adults","HIV/AIDS mental health supports; housing",Unknown,"Southcoast Health; area hospitals","A second Steppingstone location (Suite 207, same 5 Dover St address in New Bedford) focuses specifically on HIV/AIDS case management, care coordination, housing assistance, and residential SUD case management for adults living with HIV/AIDS. Serves Bristol County broadly.","Bristol County COC Street Sheet",https://www.bristolcountycoc.com/bristolcountycoc-street-sheet/supports/,,41.63603,-70.924811,1,rooftop,"5 Dover St","Ste 207","New Bedford, MA 02740",,5,"Dover St",Ste,207,"New Bedford",MA,,"Bristol County",02740,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usny4jz3bq4rgtrg58b8sl33tnwv2-37p35b7etv75c,unit
"Stone House (Elizabeth Stone House)","Comprehensive DV, Mental Health, and Housing Services","Roxbury Stone House, Inc.","Community-Based Organization",https://www.stonehouseinc.org/,"(617) 427-9801",info@stonehouseinc.org,"8 Notre Dame Street","Boston (Roxbury)",MA,2119,Suffolk,1,"Roxbury; Dorchester; Jamaica Plain; Mattapan; Hyde Park","In-person only",No,Unknown,Unknown,Unknown,Unknown,Unknown,"DV survivors (adult and child); women with mental illness; substance use; homelessness; BIPOC community in Roxbury","Individual Therapy; Group Therapy; Case Management; Peer Support; Support Groups; Advocacy; Crisis Intervention",Yes,No,Yes,No,No,No,No,"Clinic; Community Center; Residential (emergency shelter; transitional housing)","24/7 crisis shelter; trauma counseling; bilingual DV support groups; relapse prevention; anger management; trauma support groups; self-esteem groups; parenting classes; financial literacy; child care; immigration advocacy included in case management",Spanish,Spanish,Unknown,Spanish,"Bilingual DV support groups (English/Spanish); trauma-focused support groups",Unknown,Unknown,Unknown,Yes,Unknown,"Free; services available regardless of ability to pay","Adult survivors of DV and their children; families experiencing homelessness; adults with mental illness or substance use co-occurring with DV","DV + mental illness + substance abuse integration; trauma-informed housing; peer support model","Immigration advocacy included in case management for immigrant DV survivors","Jane Doe Inc.; Suffolk County DV services network","Founded in 1974, Stone House provides comprehensive, trauma-informed services for 800+ adult and child DV survivors annually in Roxbury and surrounding neighborhoods. Services are holistic, integrating mental health counseling, substance use support, housing, child care, financial literacy, and immigration advocacy. Bilingual DV support groups are available in English and Spanish.","Mass.gov; GuideStar; cominghomedirectory.org; womenslaw.org",https://www.stonehouseinc.org/,,42.318919,-71.096081,1,rooftop,"8 Notre Dame St",,"Roxbury, MA 02119",,8,"Notre Dame St",,,Roxbury,MA,,"Suffolk County",02119,US,,"City of Boston",gcod_usnqfpnykvc39ka7a7awmgwjyv7q4,building_centroid
"Sturdy Memorial Hospital","Inpatient Behavioral Health & Emergency Psychiatric Services – Attleboro","Sturdy Memorial Hospital","Hospital Inpatient",https://www.sturdyhealth.org,"(508) 222-5200",Unknown,"211 Park St",Attleboro,MA,2703,Bristol,1,"Greater Attleboro and northern Bristol County","In-person only",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Psychiatric Medication Management; Crisis Intervention; Individual Therapy (inpatient)",Yes,Yes,No,No,No,No,No,"Clinic (hospital)","Emergency psychiatric evaluation; inpatient behavioral health; consultation-liaison psychiatry",Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,"MassHealth, Medicare, commercial","All adults presenting with psychiatric emergency in Attleboro area","Hospital-based emergency and inpatient psychiatric services",Unknown,"CCBC (nearby CBHC); Mass DMH; area CBHCs","Sturdy Memorial Hospital in Attleboro provides emergency and inpatient psychiatric services to northern Bristol County residents. Key receiving hospital for psychiatric emergencies in the Attleboro/North Attleboro area, with CCBC CBHC nearby to provide step-down care.","CCBC Mass.gov BH CP document; Org website",https://www.sturdyhealth.org,,41.942076,-71.274944,1,rooftop,"211 Park St",,"Attleboro, MA 02703",,211,"Park St",,,Attleboro,MA,,"Bristol County",02703,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnhg7rzg5jj6qa3ez9gh43mat699,building_centroid
"Suffolk University","Suffolk University Counseling, Health and Wellness","Suffolk University","School-/Campus-Based Clinic",https://www.suffolk.edu/campus-life/health-wellness/,"(617) 573-8226",Unknown,"73 Tremont Street",Boston,MA,2108,Suffolk,1,"Suffolk University students",Hybrid,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Individual Therapy; Group Therapy; Psychiatric Medication Management; Crisis Intervention",Yes,Yes,No,No,No,No,No,Clinic,"Counseling; psychiatry; support groups; referrals",Unknown,Unknown,Unknown,Unknown,Unknown,"Yes (Suffolk student health plan)",Unknown,Unknown,Unknown,Unknown,"Covered under Suffolk student health plan","Enrolled Suffolk University students","College mental health",Unknown,"Suffolk University Health","Suffolk University provides individual and group counseling, psychiatric services, and crisis support at its downtown Boston campus for enrolled students.","Suffolk University website",https://www.suffolk.edu/campus-life/health-wellness/,,42.357815,-71.060811,1,rooftop,"73 Tremont St",,"Boston, MA 02108",,73,"Tremont St",,,Boston,MA,,"Suffolk County",02108,US,,"City of Boston",gcod_usns4u3bh2muxh5emfsld2xgmaby6,building_centroid
"Suffolk University","Suffolk University Law School – Domestic Violence Institute (DVI) and Legal Clinics","Suffolk University","Legal Services with MH Integration",https://www.suffolk.edu/law/academics/clinics-and-experiential-learning,"(617) 573-8600",Unknown,"120 Tremont Street",Boston,MA,2108,Suffolk,1,"Greater Boston / Suffolk County","In-person only",No,Unknown,Yes,Unknown,Unknown,Unknown,"DV survivors; immigrants; low-income individuals","Advocacy; Legal Services; Referrals",No,No,No,No,No,"Yes – legal clinics including immigration and DV","Yes – legal-mental health integration through referrals to mental health partners",Unknown,Clinic,"Law school clinical programs; DVI advocacy and referrals; immigration law clinic; referrals to mental health services for trauma survivors",Unknown,Unknown,Unknown,Unknown,"DV legal advocacy; immigration legal clinic",Unknown,Unknown,Unknown,Yes,Unknown,"Free legal clinic services for eligible clients","Low-income individuals in Greater Boston; DV survivors; immigrants","Legal-mental health integration for DV and immigration","Immigrant DV survivors; asylum seekers accessing legal representation","Boston DV network; GBLS; community health centers","Suffolk University Law School operates clinical programs including a Domestic Violence Institute providing free legal advocacy and referrals for DV survivors and an immigration law clinic. These programs formally coordinate with mental health service providers when clients have trauma-related needs.","Suffolk University website",,42.356722,-71.061154,1,rooftop,"120 Tremont St",,"Boston, MA 02108",,120,"Tremont St",,,Boston,MA,,"Suffolk County",02108,US,,"City of Boston",gcod_usns4u3bh2muxh5ers9rwq7wkm9ab,building_centroid
"Supportive Care of Lawrence","Domestic Violence Supportive Services with Mental Health Component","Supportive Care of Lawrence","Community-Based Organization",http://www.supportivecaredv.org,"(978) 686-1300",Unknown,Unknown,Lawrence,MA,1840,Essex,1,"Lawrence and surrounding area",In-person,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Support Groups; Case Management; Other (DV crisis services; mental health referrals)",No,No,No,No,Unknown,Unknown,Unknown,"Community Center","DV supportive services; mental health referrals; crisis support",Spanish,Spanish,Yes,Spanish,"Yes – serves Lawrence Latino immigrant community",Unknown,Unknown,Unknown,Yes,Unknown,Free,"DV survivors","DV advocacy; mental health referrals","Northeast Legal Aid; GLCAC","Supportive Care of Lawrence is a DV support organization in Lawrence that provides crisis services and mental health referrals to DV survivors, including the Spanish-speaking and immigrant community. Listed as a DV resource by Northeast Legal Aid for Lawrence area.","Northeast Legal Aid DV page",https://www.northeastlegalaid.org/domestic-violence,,,42.70734,-71.161052,1,place,,,"Lawrence, MA 01840",,,,,,Lawrence,MA,,"Essex County",01840,US,,"TIGER/Line® from the US Census Bureau",,
"Taunton Community Crisis Intervention Team (CCIT)","Crisis Intervention for Justice-Involved Individuals – Taunton","CCBC / Taunton Police Dept. partnership","Crisis/Urgent Care",https://www.comcounseling.org,"(508) 828-9116",Unknown,"1 Washington St (CCBC)",Taunton,MA,2780,Bristol,"1 (mobile/outreach)","Taunton and surrounding areas",Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Individuals at risk of involvement in the justice system; people with MH and SUD","Crisis Intervention; Case Management; Care Coordination",Yes,No,Yes,No,No,No,No,"Mobile Team; Community","Mental health crisis response embedded with law enforcement; diversion from criminal justice; connections to CCBC services","Spanish; Portuguese; ASL","Spanish; Portuguese",Unknown,"Spanish; Portuguese",Unknown,Yes,Unknown,Yes,Unknown,Yes,"MassHealth; sliding scale; crisis services free","Individuals in mental health crisis in Taunton, particularly those at risk of justice involvement","Mental health-justice diversion; law enforcement partnership",Unknown,"Taunton Police; CCBC; Mass Courts","The Taunton Community Crisis Intervention Team (CCIT) is a partnership between CCBC and the Taunton Police Department that responds to the mental health problems of individuals at risk of involvement in the justice system, providing crisis diversion and community connections. Part of CCBC's broader continuum.","CCBC website",https://www.comcounseling.org/services/,,41.901076,-71.098807,1,rooftop,"1 Washington St",,"Taunton, MA 02780",,1,"Washington St",,,Taunton,MA,,"Bristol County",02780,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnawlcygzk9q3s4z4w44bevflbwg,building_centroid
"Taunton Public Schools","School-Based Adjustment Counseling & Mental Health Services","City of Taunton (Public Schools)","School-/Campus-Based Clinic",https://www.tauntonschools.org,"(508) 821-1100",Unknown,"50 Williams St",Taunton,MA,2780,Bristol,"Multiple (school-by-school)","K-12 students in Taunton Public Schools",Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"K-12 students in Taunton; includes ELL students and growing immigrant population","Individual Therapy; Group Therapy; Crisis Intervention; Psychoeducation",Yes,No,No,No,No,No,No,School/College,"Adjustment counseling; school psychology; crisis teams; referrals to CCBC (CBHC) and Manet Community Health Center; school-based health center at Taunton Public Schools (operated by Manet)",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"Free to enrolled K-12 students","K-12 students enrolled in Taunton Public Schools","School MH; Manet school-based health center partnership",Unknown,"CCBC (CBHC Taunton); Manet CHC (school-based health center)","Taunton Public Schools provides school-based mental health through adjustment counselors and school psychologists, with a Manet Community Health Center school-based health center embedded in the TPS building on 60 Williams St, offering integrated behavioral health and primary care. CCBC (nearby CBHC) receives referrals from TPS.","Org website; Manet website",https://www.tauntonschools.org,,41.90158,-71.070825,1,rooftop,"50 Williams St",,"Taunton, MA 02780",,50,"Williams St",,,Taunton,MA,,"Bristol County",02780,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnhry852a584up7h8apkp7u2axfh,building_centroid
"Tewksbury Hospital","Psychiatric Services – Hathorne Units","Massachusetts Department of Mental Health","Hospital Inpatient",https://www.mass.gov/locations/tewksbury-hospital,Unknown,Unknown,"365 East Street",Tewksbury,MA,1876,Middlesex,"1 (on Tewksbury State Hospital campus, with multiple programs)","Statewide; serves most complex/high-need patients","In-person only",No,N/A,Unknown,Unknown,Unknown,Unknown,Unknown,"Psychiatric Medication Management; Inpatient Care; Residential/Detox; Substance Use Disorder Counseling; Rehabilitation",Yes,Yes,No,No,No,No,No,"Hospital Inpatient; Residential","Merrimack Center (secure residential for adolescents); Tewksbury Detox Center; Lowell Recovery (long-term SUD for males); Casa Esperanza bilingual SUD program; Middlesex Human Service Agency on campus",Unknown,Unknown,Unknown,Unknown,Unknown,"Yes – DMH-funded",Yes,Unknown,"Yes – DMH state facility",Unknown,"DMH-funded facility; serves patients denied placement by 3+ facilities","Adults with complex chronic conditions; typically DMH-referred","Forensic; complex chronic conditions; DMH Continuing Care",Unknown,"Lahey Health Behavioral Services; Casa Esperanza; Lowell House; Middlesex Human Service Agency","Tewksbury Hospital is a DMH-operated Continuing Care facility providing inpatient psychiatric and medical services to high-acuity adults, including the Hathorne psychiatric units. Campus also hosts residential SUD programs and a bilingual Casa Esperanza program. Serves patients typically denied by other facilities.","Mass.gov DMH Offices page; Tewksbury Hospital page; Wikipedia",https://www.mass.gov/locations/tewksbury-hospital,,42.607211,-71.218428,1,rooftop,"365 East St",,"Tewksbury, MA 01876",,365,"East St",,,Tewksbury,MA,,"Middlesex County",01876,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn3ycrmmjml9az44yynkydenvbf3,building_centroid
"The Advocates","Eliot Center for Children – Concord / Acton Area Child MH","Eliot Community Human Services","Community Mental Health Clinic",https://www.eliotchs.org,"(978) 369-1113",Unknown,"86 Baker Avenue Extension",Concord,MA,1742,Middlesex,Multiple,"Concord, Acton, and surrounding Middlesex communities",Hybrid,Yes,"Middlesex County",Unknown,Unknown,Unknown,Unknown,Unknown,"Individual Therapy; Family Therapy; Home-Based Therapy; Therapeutic Mentoring; Case Management; CBHI",Yes,Unknown,"Yes – in-home therapy; therapeutic mentoring",No,No,Unknown,No,"Clinic; Home-based","CBHI services; in-home behavioral services; therapeutic mentoring; family support; school-based services; early childhood intervention",Unknown,Unknown,Unknown,Unknown,Unknown,"Yes – MassHealth",Unknown,Unknown,Unknown,Unknown,"MassHealth; DCF/DMH-funded","Children, adolescents, and families; Concord/Acton area","CBHI; in-home BH; therapeutic mentoring",Unknown,"Emerson Hospital; Concord Public Schools","Eliot CHS provides CBHI services, in-home therapy, and therapeutic mentoring for children and families in the Concord, Acton, and surrounding west Middlesex communities, co-located at the same address as the BH Urgent Care site.","Emerson Health BH Resources; Eliot CHS website",https://www.eliotchs.org,,42.462126,-71.380136,1,range_interpolation,"86 Baker Ave",,"Concord, MA 01742",,86,"Baker Ave",,,Concord,MA,,"Middlesex County",01742,US,,"TIGER/Line® from the US Census Bureau",gcod_usn2tpdf4k9kk8q34676bx27gtrdg,
